episode,reward,avg_wait_time,avg_ambulance_wait,avg_firetruck_wait,throughput_per_min,total_spawned,total_cleared,ambulance_cleared,firetruck_cleared,epsilon,mean_td_error
243,410.1,0.99,0.25,0.02,98.4,54,41,4,1,0.6148,1.3835
244,-194.25,1.62,1.73,0.0,117.6,65,49,2,0,0.6136,1.3884
245,-68.3,1.6,0.0,0.0,96.0,50,40,0,0,0.6123,0.9571
246,-286.65,1.13,1.7,0.0,105.6,61,44,4,0,0.6111,1.4814
247,72.4,1.35,0.02,0.0,100.8,57,42,1,0,0.6099,1.0663
248,-115.2,1.72,0.37,0.0,112.8,62,47,1,0,0.6087,1.1922
249,130.25,1.37,0.81,0.02,103.2,55,43,6,1,0.6074,1.8105
250,156.1,1.28,0.0,0.02,103.2,56,43,0,1,0.6062,1.1217
251,338.2,1.02,0.02,0.02,112.8,61,47,1,1,0.605,1.327
252,-1631.8,2.32,1.23,0.0,96.0,58,40,1,0,0.6038,1.8054
253,84.2,2.27,0.02,0.02,84.0,45,35,2,1,0.6026,1.2058
254,132.8,1.29,0.27,0.0,112.8,58,47,2,0,0.6014,1.1678
255,138.95,1.41,0.02,0.0,117.6,61,49,1,0,0.6002,1.0579
256,113.5,1.64,0.02,0.0,120.0,66,50,1,0,0.599,0.9424
257,-68.25,1.29,1.03,0.0,100.8,53,42,2,0,0.5978,1.1926
258,124.25,1.72,0.0,0.27,88.8,48,37,0,2,0.5966,1.3182
259,26.5,1.56,0.78,0.0,112.8,59,47,2,0,0.5954,1.281
260,184.1,1.55,0.02,0.0,117.6,66,49,2,0,0.5942,1.1196
261,-390.8,1.5,2.2,0.63,88.8,48,37,2,1,0.593,1.5442
262,19.85,1.16,0.02,0.0,93.6,49,39,1,0,0.5918,1.0645
263,218.5,1.23,0.0,0.02,110.4,61,46,0,1,0.5907,1.03
264,46.6,1.46,0.02,0.0,122.4,68,51,1,0,0.5895,1.0113
265,122.25,1.6,0.02,0.0,100.8,56,42,2,0,0.5883,1.1251
266,-65.95,1.67,0.0,0.0,105.6,56,44,0,0,0.5871,0.8569
267,-450.6,1.79,1.31,1.39,105.6,56,44,3,2,0.5859,2.0752
268,0.9,1.4,1.13,0.0,117.6,65,49,1,0,0.5848,1.0532
269,-9.8,1.44,0.57,0.0,93.6,54,39,1,0,0.5836,0.8807
270,-258.9,1.39,0.6,2.13,96.0,51,40,2,1,0.5824,1.4578
271,117.9,1.56,0.02,0.0,115.2,62,48,1,0,0.5813,0.992
272,75.1,1.66,0.3,0.0,120.0,63,50,2,0,0.5801,1.2093
273,75.3,1.23,0.93,0.59,105.6,60,44,3,2,0.5789,1.6981
274,10.0,1.28,0.0,0.0,108.0,56,45,0,0,0.5778,1.0383
275,-40.05,1.6,1.06,0.0,110.4,59,46,4,0,0.5766,1.5342
276,-549.2,1.53,2.21,0.0,103.2,60,43,4,0,0.5755,1.5684
277,-17.85,1.22,1.2,0.02,93.6,52,39,1,1,0.5743,1.2014
